espero,"[2, 1, 1]"
blanco,"[4, 1, 7]"
ligero,"[5, 0, 0]"
consiguio,"[3, 1, 0]"
pronto,"[49, 30, 20]"
sacarle,"[1, 0, 0]"
volviendo,"[5, 3, 2]"
parecio,"[22, 2, 6]"
columbrar,"[1, 0, 0]"
resquicios,"[1, 0, 0]"
quedaban,"[3, 1, 4]"
pesado,"[6, 0, 1]"
cortinaje,"[3, 1, 0]"
hueco,"[2, 0, 1]"
blancas,"[1, 1, 5]"
mujeres,"[6, 5, 14]"
bocas,"[5, 0, 2]"
cuchicheaban,"[1, 0, 1]"
vision,"[1, 1, 0]"
engolfose,"[1, 0, 0]"
contemplaciones,"[1, 0, 1]"
cuatro,"[15, 32, 12]"
veces,"[28, 11, 25]"
volvio,"[13, 42, 11]"
viendo,"[3, 5, 14]"
alguien,"[5, 9, 8]"
ocasion,"[8, 4, 1]"
fueron,"[16, 16, 9]"
tocas,"[2, 0, 0]"
monjiles,"[1, 0, 0]"
sotana,"[7, 0, 1]"
rapiña,"[1, 0, 2]"
desaparecieron,"[1, 2, 1]"
rapidez,"[8, 1, 0]"
fantasmagorias,"[1, 0, 0]"
sonrio,"[6, 3, 3]"
pensando,"[7, 5, 6]"
revolucion,"[13, 1, 0]"
causado,"[3, 1, 0]"
convento,"[4, 0, 0]"
llegada,"[5, 3, 2]"
habria,"[5, 18, 7]"
misteriosa,"[4, 1, 0]"
mastuerzo,"[2, 0, 0]"
cortina,"[5, 0, 0]"
levanto,"[11, 34, 4]"
entro,"[16, 24, 4]"
buena,"[25, 19, 14]"
hallarse,"[1, 0, 0]"
lejos,"[6, 8, 9]"
satisfaccion,"[14, 0, 3]"
femenil,"[4, 0, 0]"
carne,"[5, 10, 6]"
tersa,"[2, 0, 0]"
sonrosada,"[2, 0, 1]"
juzgar,"[7, 0, 1]"
abultados,"[2, 0, 0]"
exenta,"[3, 0, 0]"
blanca,"[2, 8, 9]"
gafas,"[4, 0, 0]"
hablaba,"[11, 2, 12]"
demostraba,"[5, 0, 0]"
origen,"[1, 5, 0]"
ciertas,"[9, 1, 3]"
letras,"[4, 1, 1]"
pasar,"[16, 18, 9]"
lengua,"[5, 10, 4]"
graciosamente,"[3, 1, 1]"
desfiguradas,"[1, 0, 0]"
esposa,"[14, 11, 2]"
guarde,"[1, 3, 0]"
sientese,"[2, 0, 0]"
pueden,"[9, 8, 0]"
servirle,"[1, 0, 0]"
santa,"[22, 5, 2]"
destinada,"[1, 1, 0]"
educar,"[1, 0, 0]"
jovenes,"[6, 26, 0]"
temor,"[1, 3, 0]"
majestuosamente,"[1, 0, 0]"
interponiendo,"[1, 0, 0]"
visitante,"[1, 0, 0]"
trabajo,"[5, 2, 6]"
cargada,"[2, 1, 1]"
rosarios,"[1, 0, 0]"
sinnumero,"[4, 0, 2]"
baratijas,"[1, 0, 0]"
clavo,"[1, 2, 1]"
acerco,"[3, 18, 1]"
silla,"[5, 2, 0]"
hablar,"[24, 9, 7]"
segura,"[4, 4, 2]"
mohin,"[3, 0, 0]"
rechazando,"[1, 0, 0]"
mundano,"[1, 0, 0]"
demostrar,"[4, 1, 0]"
retiraba,"[3, 0, 0]"
tengo,"[26, 22, 10]"
prisa,"[4, 2, 0]"
terminar,"[5, 0, 4]"
asunto,"[11, 4, 3]"
consistira,"[1, 0, 0]"
verse,"[6, 3, 6]"
libre,"[7, 5, 2]"
seguro,"[16, 4, 5]"
distrae,"[1, 0, 0]"
graves,"[6, 0, 0]"
impasible,"[3, 1, 1]"
imprevistos,"[1, 0, 0]"
obligan,"[1, 0, 0]"
salir,"[13, 11, 7]"
reciente,"[3, 0, 1]"
tempestad,"[2, 1, 1]"
proponiendome,"[1, 0, 0]"
volver,"[15, 11, 9]"
partir,"[4, 7, 1]"
destierro,"[2, 0, 0]"
pierda,"[2, 0, 0]"
vengo,"[7, 1, 2]"
cumplir,"[15, 5, 2]"
conmueve,"[1, 0, 0]"
dejeme,"[2, 0, 1]"
hombron,"[1, 0, 0]"
musculos,"[3, 0, 0]"
fiereza,"[1, 0, 0]"
imponia,"[1, 0, 0]"
final,"[3, 1, 1]"
violencia,"[1, 0, 1]"
rasco,"[1, 0, 0]"
quisiera,"[8, 6, 4]"
ocultar,"[4, 2, 3]"
ponian,"[5, 0, 0]"
lacrimosos,"[1, 0, 0]"
causa,"[31, 42, 0]"
continuaba,"[1, 0, 0]"
tanto,"[50, 9, 9]"
persona,"[30, 6, 3]"
cosas,"[13, 35, 12]"
muestra,"[8, 0, 0]"
extrañeza,"[3, 0, 1]"
sonriendo,"[7, 1, 1]"
extrañe,"[1, 0, 0]"
ponga,"[4, 1, 1]"
conmovido,"[2, 0, 0]"
pocas,"[7, 0, 1]"
visto,"[9, 20, 16]"
muerte,"[12, 16, 13]"
considerar,"[2, 1, 0]"
muchos,"[20, 8, 2]"
luchaba,"[2, 0, 0]"
sentir,"[8, 3, 7]"
monja,"[6, 0, 0]"
despego,"[2, 0, 0]"
solemnidad,"[1, 0, 1]"
antigua,"[8, 8, 2]"
manifestar,"[3, 0, 1]"
entiendo,"[1, 0, 0]"
interpelado,"[1, 0, 0]"
incorporo,"[2, 0, 1]"
asiento,"[5, 1, 3]"
nervioso,"[2, 0, 0]"
manifestando,"[4, 0, 0]"
mayor,"[28, 34, 5]"
cariñoso,"[3, 0, 0]"
aturdimiento,"[1, 0, 0]"
olvidado,"[3, 1, 2]"
quiero,"[7, 11, 4]"
educandas,"[3, 0, 0]"
primera,"[25, 21, 9]"
excusado,"[1, 0, 0]"
preguntarle,"[2, 1, 0]"
traido,"[2, 4, 1]"
habra,"[4, 4, 2]"
encargo,"[4, 1, 0]"
expreso,"[1, 0, 0]"
encuentra,"[6, 2, 2]"
voluntad,"[17, 12, 4]"
disposicion,"[1, 0, 1]"
padres,"[7, 1, 3]"
encargadas,"[1, 0, 0]"
logramos,"[1, 1, 0]"
busca,"[10, 10, 8]"
repasa,"[1, 0, 0]"
memoria,"[11, 3, 3]"
educanda,"[3, 0, 0]"
inflamandose,"[1, 0, 0]"
perdamos,"[2, 0, 0]"
vayamos,"[2, 0, 0]"
rectamente,"[2, 0, 0]"
joven,"[42, 130, 7]"
hablo,"[4, 2, 1]"
necesito,"[3, 2, 2]"
entendernos,"[1, 0, 0]"
debemos,"[3, 4, 0]"
discutiendo,"[1, 0, 0]"
nombrar,"[1, 0, 0]"
recalco,"[1, 0, 0]"
amargura,"[2, 2, 1]"
ignoro,"[1, 0, 0]"
derecho,"[7, 4, 5]"
quiere,"[19, 6, 2]"
murio,"[2, 3, 5]"
mucho,"[46, 35, 14]"
iracunda,"[2, 0, 0]"
automata,"[2, 0, 0]"
fines,"[4, 1, 0]"
movieron,"[1, 0, 0]"
llegar,"[16, 33, 8]"
detuvo,"[5, 7, 3]"
lugar,"[7, 15, 5]"
clase,"[17, 7, 3]"
dirigia,"[5, 2, 2]"
hicieran,"[2, 1, 0]"
variar,"[1, 0, 0]"
rapto,"[2, 2, 0]"
caracter,"[26, 2, 4]"
estoy,"[16, 15, 4]"
fuera,"[22, 12, 17]"
algunos,"[34, 11, 17]"
proximo,"[6, 1, 2]"
creame,"[1, 0, 1]"
aseguro,"[2, 2, 0]"
conciencia,"[7, 0, 3]"
jamas,"[6, 9, 2]"
trajo,"[4, 15, 0]"
revelaciones,"[5, 0, 0]"
